time_ms,funding_rate
1687647600203,2.5165e-05
1687651200049,2.3574e-05
1687654800150,3.38568e-05
1687658400006,3.23075e-05
1687662000143,2.37759e-05
1687665600025,2.66796e-05
1687669200089,4.7891e-05
1687672800028,3.15041e-05
1687676400121,3.38987e-05
1687680000061,1.77533e-05
1687683600152,1.44762e-05
1687687200201,1.97945e-05
1687690800134,1.4425e-05
1687694400095,2.76612e-05
1687698000066,2.56722e-05
1687701600284,3.43767e-05
1687705200044,3.18112e-05
1687708800047,1.45814e-05
1687712400163,2.13107e-05
1687716000153,2.31968e-05
1687719600045,2.93273e-05
1687723200276,3.27421e-05
1687726800173,3.6431e-05
1687730400042,3.24265e-05
1687734000378,2.58348e-05
1687737600147,2.77737e-05
1687741200115,3.98218e-05
1687744800029,5.66199e-05
1687748400161,2.94027e-05
1687752000021,2.43269e-05
1687755600193,1.53088e-05
1687759200139,2.50215e-05
1687762800102,2.96526e-05
1687766400077,4.39672e-05
1687770000117,3.81436e-05
1687773600047,2.55772e-05
1687777200013,1.98397e-05
1687780800056,8.3939e-06
1687784400110,6.8446e-06
1687788000104,1.5404e-05
1687791600160,3.68566e-05
1687795200080,2.90457e-05
1687798800279,3.64199e-05
1687802400011,4.14731e-05
1687806000098,2.26806e-05
1687809600033,1.89059e-05
1687813200084,1.80763e-05
1687816800010,2.28854e-05
1687820400151,2.50498e-05
1687824000015,1.95499e-05
1687827600409,2.43863e-05
1687831200017,2.15571e-05
1687834800137,2.14438e-05
1687838400129,3.68196e-05
1687842000028,3.30287e-05
1687845600198,3.48198e-05
1687849200075,4.10502e-05
1687852800169,3.77986e-05
1687856400198,4.93973e-05
1687860000025,4.25224e-05
1687863600097,5.08102e-05
1687867200407,3.97934e-05
1687870800012,4.36958e-05
1687874400190,7.7424e-05
1687878000207,8.91851e-05
1687881600011,6.06811e-05
1687885200150,4.20234e-05
1687888800168,3.67473e-05
1687892400093,3.0219e-05
1687896000161,3.31555e-05
1687899600024,3.60089e-05
1687903200153,5.83966e-05
1687906800106,4.16191e-05
1687910400001,3.46273e-05
1687914000299,3.97236e-05
1687917600161,1.92546e-05
1687921200174,1.86266e-05
1687924800069,1.58059e-05
1687928400200,1.32486e-05
1687932000106,6.3018e-06
1687935600169,9.6676e-06
1687939200099,1.09746e-05
1687942800053,6.1842e-06
1687946400178,2.8857e-06
1687950000027,-9.759e-06
1687953600051,-7.9744e-06
1687957200042,1.71436e-05
1687960800156,1.96301e-05
1687964400099,1.01639e-05
1687968000103,5.078e-06
1687971600089,9.984e-06
1687975200088,1.12424e-05
1687978800100,7.1748e-06
1687982400020,2.48874e-05
1687986000114,1.06364e-05
1687989600026,1.06825e-05
1687993200189,1.04219e-05
1687996800119,4.0895e-06
1688000400651,1.9763e-05
1688004000161,6.8235e-06
1688007600194,1.43537e-05
1688011200059,1.63966e-05
1688014800214,-2.3858e-06
1688018400116,-6.1438e-06
1688022000066,-7.4022e-06
1688025600030,7.7753e-06
1688029200117,1.9198e-06
1688032800401,7.678e-06
1688036400031,2.06259e-05
1688040000044,2.67882e-05
1688043600024,1.64188e-05
1688047200168,2.94713e-05
1688050800073,2.01518e-05
1688054400000,8.7947e-06
1688058000026,1.11897e-05
1688061600445,3.40413e-05
1688065200110,2.24204e-05
1688068800151,2.58021e-05
1688072400032,3.01667e-05
1688076000143,2.89822e-05
1688079600071,1.63816e-05
1688083200039,1.01458e-05
1688086800028,1.61253e-05
1688090400275,1.62613e-05
1688094000005,2.31169e-05
1688097600158,3.14544e-05
1688101200106,5.42146e-05
1688104800016,6.12009e-05
1688108400218,3.46508e-05
1688112000158,3.9755e-05
1688115600200,4.02313e-05
1688119200075,3.38473e-05
1688122800097,3.05282e-05
1688126400087,2.26012e-05
1688130000357,4.63598e-05
1688133600011,0.0001089142
1688137200121,0.0001160851
1688140800065,4.30865e-05
1688144400078,6.52117e-05
1688148000173,9.38348e-05
1688151600174,7.5193e-05
1688155200179,6.78403e-05
1688158800067,6.70702e-05
1688162400105,5.51123e-05
1688166000500,5.00378e-05
1688169600189,5.08721e-05
1688173200008,5.7907e-05
1688176800067,4.87348e-05
1688180400024,4.51181e-05
1688184000166,3.99011e-05
1688187600117,5.54294e-05
1688191200051,4.05873e-05
1688194800137,3.47078e-05
1688198400278,3.93432e-05
1688202000155,3.51307e-05
1688205600136,3.97473e-05
1688209200069,4.12598e-05
1688212800227,4.81806e-05
1688216400071,5.11933e-05
1688220000212,5.24053e-05
1688223600085,5.5821e-05
1688227200066,6.46388e-05
1688230800166,6.2217e-05
1688234400213,4.79142e-05
1688238000405,4.75937e-05
1688241600141,4.53652e-05
1688245200081,4.2181e-05
1688248800159,3.90848e-05
1688252400002,4.37794e-05
1688256000133,4.54504e-05
1688259600093,6.26746e-05
1688263200048,6.2003e-05
1688266800285,7.97685e-05
1688270400093,6.71674e-05
1688274000017,7.34503e-05
1688277600176,7.11613e-05
1688281200221,7.25217e-05
1688284800072,6.39858e-05
1688288400064,6.47763e-05
1688292000084,6.13012e-05
1688295600093,7.02582e-05
1688299200145,7.15509e-05
1688302800005,6.01904e-05
1688306400029,6.47453e-05
1688310000117,8.80742e-05
1688313600370,9.81653e-05
1688317200005,7.91788e-05
1688320800166,5.86976e-05
1688324400235,7.14831e-05
1688331600180,4.73405e-05
1688335200112,5.31633e-05
1688338800201,9.16306e-05
1688342400162,7.78376e-05
1688346000081,5.26932e-05
1688349600278,5.58204e-05
1688353200194,5.29532e-05
1688356800066,4.63114e-05
1688360400066,5.47109e-05
1688364000158,4.94566e-05
1688367600110,6.4497e-05
1688371200172,7.08471e-05
1688374800195,0.0001197763
1688378400017,9.79533e-05
1688382000022,0.0001089694
1688385600054,0.0001279054
1688389200041,0.0001252222
1688392800379,0.0001101545
1688396400144,0.0001043663
1688400000092,0.0001036911
1688403600184,9.54792e-05
1688407200064,8.18667e-05
1688410800163,8.68987e-05
1688414400113,0.0001161341
1688418000502,9.08096e-05
1688421600201,8.98856e-05
1688425200188,7.30338e-05
1688428800072,5.9167e-05
1688432400024,5.70893e-05
1688436000154,6.96e-05
1688439600054,5.22901e-05
1688443200063,4.99259e-05
1688446800103,5.71243e-05
1688450400063,5.48768e-05
1688454000058,5.1555e-05
1688457600029,4.18194e-05
1688461200033,4.207e-05
1688464800063,5.88899e-05
1688468400017,5.61187e-05
1688472000073,4.97434e-05
1688475600078,6.22608e-05
1688479200074,6.36302e-05
1688482800106,6.31097e-05
1688486400152,7.40908e-05
1688490000259,9.07946e-05
1688493600181,7.39671e-05
1688497200336,6.64662e-05
1688500800055,4.29747e-05
1688504400071,2.18899e-05
1688508000069,1.62502e-05
1688511600097,2.6087e-05
1688515200201,2.70701e-05
1688518800213,2.32286e-05
1688522400203,1.6031e-05
1688526000151,1.78793e-05
1688529600020,1.24465e-05
1688533200188,1.02175e-05
1688536800868,2.2096e-06
1688540400320,6.7586e-06
1688544000422,1.20979e-05
1688547600004,3.70073e-05
1688551200058,2.5596e-05
1688554800079,3.88303e-05
1688558400202,3.26064e-05
1688562000002,3.77589e-05
1688565600120,5.26691e-05
1688569200184,3.41808e-05
1688572800124,2.78271e-05
1688576400145,1.84615e-05
1688580000322,2.52059e-05
1688583600137,2.30581e-05
1688587200189,2.00278e-05
1688590800065,2.31983e-05
1688594400063,1.88287e-05
1688598000171,2.76431e-05
1688601600104,2.29456e-05
1688605200174,2.49814e-05
1688608800187,2.06402e-05
1688612400098,2.53804e-05
1688616000175,1.04662e-05
1688619600185,8.451e-07
1688623200217,1.63766e-05
1688626800087,2.16223e-05
1688630400133,4.5725e-06
1688634000290,4.16752e-05
1688637600088,8.72293e-05
1688641200192,4.7867e-05
1688644800006,3.35119e-05
1688648400001,2.89174e-05
1688652000020,1.40102e-05
1688655600083,7.37928e-05
1688659200165,5.76581e-05
1688662800170,6.46036e-05
1688666400236,5.6032e-05
1688670000245,5.40998e-05
1688673600126,5.81888e-05
1688677200065,4.85031e-05
1688680800091,5.95172e-05
1688684400088,4.16172e-05
1688688000296,9.0385e-05
1688691600219,0.000114384
1688695200408,6.54807e-05
1688698800351,5.62858e-05
1688702400092,6.9763e-05
1688706000055,7.09189e-05
1688709600190,9.89998e-05
1688713200072,9.62785e-05
1688716800039,9.07059e-05
1688720400104,8.59673e-05
1688724000175,6.85792e-05
1688727600276,7.08328e-05
1688731200135,7.48433e-05
1688734800197,0.0001167556
1688738400149,9.90252e-05
1688742000198,7.87118e-05
1688745600167,5.54285e-05
1688749200044,4.63967e-05
1688752800064,8.1507e-06
1688756400064,6.88484e-05
1688760000026,5.73615e-05
1688763600171,5.86188e-05
1688767200352,5.97984e-05
1688770800007,4.96645e-05
1688774400142,3.64211e-05
1688778000183,3.99164e-05
1688781600018,4.19826e-05
1688785200000,5.72487e-05
1688788800187,4.57973e-05
1688792400154,5.34968e-05
1688796000046,3.55634e-05
1688799600053,2.5654e-05
1688803200115,1.75503e-05
1688806800382,3.61057e-05
1688810400087,3.01209e-05
1688814000175,2.60987e-05
1688817600008,2.79067e-05
1688821200145,2.09792e-05
1688824800117,1.42266e-05
1688828400086,1.29115e-05
1688832000293,2.27061e-05
1688835600147,3.25979e-05
1688839200213,2.58565e-05
